Station,Entrances,Primary Line,Lines,Borough
Grand Central 42 St,Park Ave and E 42 St,6,"6,6 Express,4,7",MANHATTAN
33 St,E 32 St and Park Ave S,6,"6,",MANHATTAN
28 St,E 28 St and Park Ave South,6,"6,",MANHATTAN
23 St,E 22 St and Park Ave South,6,"6,",MANHATTAN
14 St-Union Sq,E 15 St and Union Square East,6,"6,6 Express,4",MANHATTAN
Astor Pl,E 8 St and 4th Ave,6,"6,",MANHATTAN
Bleecker St,Houston St and Lafayette St,6,"6,B,D,F",MANHATTAN
Spring St,Spring St and Cleveland Place,6,"6,",MANHATTAN
Canal St,Canal St and Lafayette St,6,"6,",MANHATTAN
Brooklyn Bridge City Hall,Centre St between Chambers St and Brooklyn Bridge Promenade,6,"6,6 Express,4",MANHATTAN
Flushing Main St,Main St and Roosevelt Ave,7,"7,7 Express,",QUEENS
Mets-Willis Point,Roosevelt Ave and Passarelle Pedestrian Bridg,7,"7,7 Express,",QUEENS
111 St,111 St and Roosevelt Ave,7,"7,",QUEENS
103 St-Corona Plaza,103 St and Roosevelt Ave,7,"7,",QUEENS
Junction Blvd,Junction Blvd and Roosevelt Ave,7,"7,7 Express,",QUEENS
90 St-Elmhurst Av,90 St and Roosevelt Ave,7,"7,",QUEENS
82 St-Jackson Hts,82 St and Roosevelt Ave,7,"7,",QUEENS
74 St-Broadway,Roosevelt Ave and Broadway,7,"7,E,F",QUEENS
69 St,69 St and Roosevelt Ave,7,"7,",QUEENS
61 St Woodside,61 St and Roosevelt Ave,7,"7,7 Express,",QUEENS
52 St,52 St and Roosevelt Ave,7,"7,",QUEENS
46 St Bliss St,46 St and Queens Blvd,7,"7,",QUEENS
40 Lowery St,40 St and Queens Blvd,7,"7,",QUEENS
33 St-Rawson St,33 St and Queens Blvd,7,"7,",QUEENS
Queensboro Plaza,Queens Plaza North between 27 St and Crescent St,7,"7,7 Express,",QUEENS
Court Sq-23 St,23 St and Jackson Ave,7,"7,7 Express,E",QUEENS
Hunters Point,49 Ave east of 21 St,7,"7,7 Express,",QUEENS
Vernon Blvd Jackson Av,Vernon Blvdand 50 Ave,7,"7,7 Express,",QUEENS
Grand Central 42 St,Park Ave and E 42 St,7,"7,7 Express,4,6",MANHATTAN
5 Av,5th Ave and 42 St,7,"7,7 Express,B,D,F",MANHATTAN
Times Square-42 St,W 41 St and 7th Ave,7,"7,7 Express,1,2,3,C,E",MANHATTAN
34 St Hudson Yards,Hudson Blvd East between 33 St and 34 St,7,"7,7 Express,",MANHATTAN
Bedford Pk Blvd,Bedford Park Boulevard and Grand Concourse,B,"B,B Express,D",BRONX
Kingsbridge Rd,Kingsbridge Rd and Grand Concourse,B,"B,B Express,D",BRONX
Fordham Rd,East 188 St and Grand Concourse,B,"B,B Express,D",BRONX
182-183 Sts,182 St and Grand Concourse,B,"B,D",BRONX
Tremont Av,Grand Concourse and Echo Place,B,"B,B Express,D",BRONX
174-175 Sts,Walton Ave and Morris Ave,B,"B,D",BRONX
170 St,East 171 St and Grand Concourse,B,"B,D",BRONX
167 St,167 St and Grand Concourse,B,"B,D",BRONX
161 St Yankee Stadium,River Ave and 161 St,B,"B,D,4",BRONX
155 St,155 St and Harlem River Dr,B,"B,D",MANHATTAN
145 St,W 145 St and St Nicholas Ave,B,"B,B Express,C,D",MANHATTAN
135 St,W 135 St and St Nicholas Ave,B,"B,B Express,C",MANHATTAN
125 St,W 125 St and St Nicholas Ave,B,"B,C,D",MANHATTAN
116 St,W 116 St and Frederick Douglas Blvd,B,"B,C",MANHATTAN
Cathedral Parkway (110 St),W 110 St and Frederick Douglas Circle,B,"B,C",MANHATTAN
103 St,W 103 St and Central Park West,B,"B,C",MANHATTAN
96 St,W 96 St and Cetral Park West,B,"B,C",MANHATTAN
86 St,W 86 St and Central Park West,B,"B,C",MANHATTAN
81 St-Museum of Natural History,W 81 St and Central Park West,B,"B,C",MANHATTAN
72 St,W 72 St and Central Park West,B,"B,C",MANHATTAN
59 St Columbus Circle,W 58 St and 8th Ave,B,"B,B Express,C,D,1",MANHATTAN
7 Av,7th Ave and E 53 St,B,"B,D,E",MANHATTAN
47-50 Sts Rockefeller Ctr,6th Ave and W 50 St,B,"B,B Express,D,F",MANHATTAN
42 St Bryant Park,6th Ave and W 42 St,B,"B,B Express,D,F,7",MANHATTAN
34 St Herald Sq,W 35 St between Broadway and 6th Ave,B,"B,B Express,D,F",MANHATTAN
W 4 St Wash Sq,W 3 St and 6th Ave,B,"B,B Express,D,F,C,E",MANHATTAN
Bleecker St,Broadway and Houston St,B,"B,B Express,D,F,6",MANHATTAN
Grand St,Grand St and Chrystie St,B,"B,B Express,D",MANHATTAN
DeKalb Av,DeKalb Ave and Flatbush Ave Extension,B,"B,B Express,",BROOKLYN
Atlantic Ave-Barclays Ctr,Hanson Place and Flatbush Ave,B,"B,B Express,D,2,3,4",BROOKLYN
7 Av,Park Place and Flatbush Ave,B,"B,B Express,",BROOKLYN
Prospect Park,Lincoln Rd between Flatbush Ave and Ocean Ave,B,"B,B Express,F",BROOKLYN
Church Av,Church Ave and E 18 St,B,"B,B Express,",BROOKLYN
Newkirk Plaza,Newkirk Plaza between Newkirk Ave and Foster Ave,B,"B,B Express,",BROOKLYN
Kings Hwy,Kings Highway between E 16 St and E 15 St,B,"B,B Express,",BROOKLYN
Sheepshead Bay,Sheepshead Bay Rd and East 15 St,B,"B,B Express,",BROOKLYN
Brighton Beach,Brighton Beach Ave and Brighton 7 St,B,"B,B Express,",BROOKLYN
168 St,W 168 St and St Nichoclas Ave,C,"C,C Express,1",MANHATTAN
163 St-Amsterdam Av,W 162 St and St Nicholas Ave,C,"C,",MANHATTAN
155 St,W 155 St and St Nicholas Ave,C,"C,",MANHATTAN
145 St,W 145 St and St Nicholas Ave,C,"C,C Express,B,D",MANHATTAN
135 St,W 135 St and St Nicholas Ave,C,"C,B",MANHATTAN
125 St,W 125 St and St Nicholas Ave,C,"C,C Express,B",MANHATTAN
116 St,W 116 St and Frederick Douglas Blvd,C,"C,B",MANHATTAN
Cathedral Parkway (110 St),W 110 St and Frederick Douglas Circle,C,"C,B",MANHATTAN
103 St,W 103 St and Central Park West,C,"C,B",MANHATTAN
96 St,W 96 St and Cetral Park West,C,"C,B",MANHATTAN
86 St,W 86 St and Central Park West,C,"C,B",MANHATTAN
81 St-Museum of Natural History,W 81 St and Central Park West,C,"C,B",MANHATTAN
72 St,W 72 St and Central Park West,C,"C,B",MANHATTAN
59 St Columbus Circle,W 58 St and 8th Ave,C,"C,C Express,B,D,1",MANHATTAN
50 St,W 50 St and 8th Ave,C,"C,E",MANHATTAN
42 St/ Port Authority Bus Terminal,W 40 St and 8th Ave,C,"C,C Express,E",MANHATTAN
34 St Penn Station,W 33 St and 8th Ave,C,"C,C Express,E",MANHATTAN
23 St,W 23 St and 8th Ave,C,"C,E",MANHATTAN
14 St,W 14 St and 8th Ave,C,"C,C Express,E",MANHATTAN
W 4 St Wash Sq,W 3 St and 6th Ave,C,"C,C Express,B,D,E,F",MANHATTAN
Spring St,Spring St and 6th Ave,C,"C,E",MANHATTAN
Canal St,Canal St and 6th Ave,C,"C,C Express,E",MANHATTAN
Chambers St,Church St and Chambers St,C,"C,C Express,E,2,3",MANHATTAN
Fulton St,Fulton St and Broadway,C,"C,C Express,2,4,3",MANHATTAN
High St,Cadman Plaza West and Middagh St,C,"C,C Express,",BROOKLYN
Jay St-MetroTech,Willoughby St and Jay St,C,"C,C Express,F",BROOKLYN
Hoyt Schermerhorn,Bond St and Schermerhorn St,C,"C,C Express,",BROOKLYN
Lafayette Av,Fulton St and S Portland Ave,C,"C,",BROOKLYN
